index,jwf_code,m_code,ean,jwf_description,simplified_description,category,price_marked,pmp_price,size
23,244080,42004086,5000382121299,PWR-BRU DIABLO CHERRY PM 1.19,Diablo Cherry,pwr_bru,TRUE,1.19,500ml
24,244060,42004088,5000382121336,PWR-BRU MAVERICK BERRY PM 1.19,Maverick Berry,pwr_bru,TRUE,1.19,500ml
25,244050,42004085,5000382121275,PWR-BRU ORIGIN PM 1.19,Origin,pwr_bru,TRUE,1.19,500ml
26,244070,42004087,5000382121312,PWR-BRU DROPKICK TROPICAL PM 1.19,Dropkick Tropical,pwr_bru,TRUE,1.19,500ml
27,243010,42004052,5000382121015,RUBICON RAW ORANGE & MANGO CAN PM 1.19,Raw Oange and Mango,rubicon,TRUE,1.19,500ml
28,243020,42004053,5000382121039,RUBICON RAW BLUEBERRY RASPBERRY CAN PM 1.19,Raw Blueberry and Raspberry,rubicon,TRUE,1.19,500ml
29,243030,42004055,5000382121077,RUBICON RAW PINEAPPLE PASSION PM 1.19,Raw Pineapple and Passionfruit,rubicon,TRUE,1.19,500ml
30,242310,42003941,5000382114925,BARRS COLA CAN PM 59P,Cola,flavours,TRUE,0.59,330ml
31,242300,42003975,5000382114406,BARRS CHERRYADE CAN PM 59P,Cherryade,flavours,TRUE,0.59,330ml
32,242320,42003977,5000382115007,BARRS CREAM SODA CAN PM 59P,Cream Soda,flavours,TRUE,0.59,330ml
33,242330,42003976,5000382114727,BARRS GINGER BEER CAN PM 59P,Ginger Beer,flavours,TRUE,0.59,330ml
34,132180,42490106,50107124,BARRS IRN BRU PET,Irn Bru Regular,irn_bru,FALSE,,250ml
35,375200,42490107,50107872,BARRS IRN BRU SUGAR FREE PET,Irn Bru Sugar Free,irn_bru,FALSE,,250ml
36,243760,42490431,50107438,BARRS IRN BRU CAN,Irn Bru Regular,irn_bru,FALSE,,330ml
37,118700,42490105,50107223,BARRS IRN BRU SUGAR FREE CAN,Irn Bru Sugar Free,irn_bru,FALSE,,330ml
38,279010,42003845,5000382112426,BARRS IRN BRU 1901 CAN,Irn Bru 1901,irn_bru,FALSE,,330ml
39,219120,42003471,5000382109754,BARRS IRN BRU CAN PM 69P,Irn Bru Regular,irn_bru,TRUE,0.69,330ml
40,219130,42003472,5000382109778,BARRS IRN BRU SUGAR FREE CAN PM 69P,Irn Bru Sugar Free,irn_bru,TRUE,0.69,330ml
41,219140,42003473,5000382109792,BARRS IRN BRU XTRA CAN PM 69P,Irn Bru Xtra,irn_bru,TRUE,0.69,330ml
42,230330,42004137,5000382005537,BARRS IRN BRU GLASS BOTTLES NRGB,Irn Bru Regular,irn_bru,FALSE,,330ml
43,230030,42004138,5000382005551,BARRS IRN BRU SUGAR FREE BOTS NRB,Irn Bru Sugar Free,irn_bru,FALSE,,330ml
44,242340,42003978,5000382114802,BARRS LEMONADE CAN PM 59P,Lemonade,flavours,TRUE,0.59,330ml
45,242350,42003984,5000382114345,BARRS LIMEADE CAN PM 59P,Limeade,flavours,TRUE,0.59,330ml
46,242360,42003973,5000382114468,BARRS ORANGEADE CAN PM 59P,Orangeade,flavours,TRUE,0.59,330ml
